DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2011,138.974,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2012,77.225,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2013,67.005,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2014,85.149,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2015,94.089,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2016,49.941,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2017,123.149,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2018,239.095,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2019,123.502,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AL,2020,150.678,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AT,2011,340.942,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AT,2012,344.577,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AT,2013,345.239,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AT,2014,340.804,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AT,2015,352.912,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AT,2016,360.998,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,AT,2017,328.812,
