DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2011,138.974,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2012,77.225,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2013,67.005,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2014,86.449,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2015,94.089,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2016,49.941,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2017,123.149,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2018,239.094,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2019,123.502,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AL,2020,150.666,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2011,3482.458,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2012,3245.066,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2013,3316.827,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2014,3049.524,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2015,3225.201,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2016,3013.647,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2017,3108.778,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2018,2739.549,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2019,2885.071,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,AT,2020,2471.505,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BA,2014,3657.915,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BA,2015,3615.414,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BA,2016,4111.803,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BA,2017,4188.714,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BA,2018,4230.078,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BA,2019,3908.080,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2011,3505.124,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2012,3235.666,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2013,3563.085,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2014,3476.418,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2015,3424.933,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2016,3155.214,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2017,3058.755,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2018,3069.768,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2019,3039.945,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BE,2020,2351.567,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2011,8093.680,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2012,6915.000,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2013,5946.623,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2014,6357.280,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2015,6607.404,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2016,5698.588,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2017,6122.761,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2018,5633.718,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2019,5248.812,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,BG,2020,4282.891,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2011,7.460,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2012,0.124,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2013,0.124,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2014,2.218,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2015,3.679,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2016,0.000,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2017,2.980,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2018,13.614,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2019,17.199,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CY,2020,14.004,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2011,18300.811,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2012,17283.113,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2013,17276.269,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2014,15972.076,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2015,16394.610,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2016,16553.885,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2017,15837.627,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2018,15815.285,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2019,14201.110,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,CZ,2020,12188.634,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DE,2011,77965.871,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DE,2012,79918.633,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DE,2013,81561.127,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DE,2014,79604.753,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,DE,2015,79414.733,
